name,type,typecode,address,pname,cityname,adname,gcj02_lon,gcj02_lat,wgs84_lon,wgs84_lat
悦动体育游泳健身中心(西山华府店),体育休闲服务;运动场馆;游泳馆,80110,马连洼北路127号(西山华府禧园底商B1层)葫芦娃火锅旁,北京市,北京市,海淀区,116.281533,40.032985,116.2754723,40.03174509
华府会馆,商务住宅;住宅区;住宅小区|体育休闲服务;运动场馆;游泳馆,120302|080110,马连洼北路与竹园中街交口处,北京市,北京市,海淀区,116.281539,40.033102,116.2754783,40.03186208
迪佳网球俱乐部,体育休闲服务;运动场馆;网球场,80103,万柳中路6号院-1,北京市,北京市,海淀区,116.296964,39.969141,116.290888,39.9678829
紫阳网球俱乐部,体育休闲服务;运动场馆;网球场,80103,万柳中路6号院,北京市,北京市,海淀区,116.297119,39.969181,116.2910427,39.96792266
悦众网球(万柳馆),体育休闲服务;运动场馆;网球场,80103,万柳华府南街与万柳中路交叉口万柳中路6号院旁,北京市,北京市,海淀区,116.297043,39.969131,116.2909668,39.96787278
游泳馆,体育休闲服务;运动场馆;游泳馆,80110,四季青昆明湖南路9号,北京市,北京市,海淀区,116.273403,39.96366,116.2673595,39.96243132
优肯篮球俱乐部(万柳馆),体育休闲服务;运动场馆;篮球场馆,80104,万柳中路,北京市,北京市,海淀区,116.298013,39.969016,116.2919351,39.96775626
搏鸣乒乓球俱乐部,体育休闲服务;运动场馆;乒乓球馆,80112,万柳星标家园1号楼3单元B1号,北京市,北京市,海淀区,116.295366,39.96776,116.289293,39.96650441
清华大学网球场(近春路),体育休闲服务;运动场馆;网球场,80103,双清路30号清华大学,北京市,北京市,海淀区,116.319054,40.00372,116.3129284,40.00242182
优肯国际篮球俱乐部总部,体育休闲服务;运动场馆;篮球场馆,80104,万柳中路6号院迪佳广场4号楼,北京市,北京市,海淀区,116.298325,39.968913,116.2922466,39.96765277
清华大学西湖游泳池,体育休闲服务;运动场馆;游泳馆,80110,双清路30号清华大学内,北京市,北京市,海淀区,116.319834,40.000287,116.3137071,39.99898749
阿迪Basketball,体育休闲服务;运动场馆;篮球场馆,80104,中关村街道丹棱街甲1号欧美汇一,北京市,北京市,海淀区,116.313809,39.979547,116.3076981,39.97825961
M-Fitness综合训练馆,体育休闲服务;运动场馆;综合体育馆,80101,蓝靛厂东路甲1号,北京市,北京市,海淀区,116.287101,39.963741,116.2810416,39.96249727
北京鸿恩足球俱乐部,体育休闲服务;运动场馆;足球场,80105,北四环西路31号,北京市,北京市,海淀区,116.322498,39.986426,116.3163668,39.98512201
京仪大酒店游泳馆,体育休闲服务;运动场馆;游泳馆,80110,大钟寺东路京仪大酒店B1(地铁知春路站B口出),北京市,北京市,海淀区,116.337444,39.972197,116.3312804,39.97086503
得乐网球(海淀杏石口店),体育休闲服务;运动场馆;网球场,80103,杏石口路89号,北京市,北京市,海淀区,116.22473,39.955922,116.2186717,39.95469308
毅达体育网球馆,体育休闲服务;运动场馆;网球场,80103,杏石口路89号,北京市,北京市,海淀区,116.224122,39.956008,116.2180628,39.95477852
远大体能训练馆,体育休闲服务;运动场馆;综合体育馆,80101,清河中街万象府底商8-1,北京市,北京市,海淀区,116.335844,40.031437,116.3296765,40.03010546
保利西山林语网球场,体育休闲服务;运动场馆;网球场,80103,西北旺镇冷泉村(黑龙潭路),北京市,北京市,海淀区,116.217112,40.039673,116.2110305,40.03843268
中央民族大学逸夫体育馆(暂停营业),体育休闲服务;运动场馆;综合体育馆,80101,中关村南路27号中央民族大学内,北京市,北京市,海淀区,116.321593,39.952614,116.3154681,39.95131308
交大附中-篮球,体育休闲服务;运动场馆;篮球场馆,80104,皂君庙路12号,北京市,北京市,海淀区,116.335196,39.96317,116.3290387,39.96184264
交大附中思源天佑游泳俱乐部,体育休闲服务;运动场馆;游泳馆,80110,皂君庙路12号(交大附中院内),北京市,北京市,海淀区,116.335535,39.962938,116.3293769,39.96161
力度家园网球场,体育休闲服务;运动场馆;网球场,80103,清河中街69号院,北京市,北京市,海淀区,116.337879,40.03254,116.3317068,40.03120456
中央民族大学足球场,体育休闲服务;运动场馆;足球场,80105,中关村南大街27中央民族大学,北京市,北京市,海淀区,116.322054,39.951717,116.3159282,39.95041524
京武乒乓球俱乐部,体育休闲服务;运动场馆;乒乓球馆,80112,清河街道安宁庄前街9号院里,北京市,北京市,海淀区,116.330274,40.040609,116.3241182,40.03928763
中央民族大学篮球场(体育场路),体育休闲服务;运动场馆;篮球场馆,80104,中关村南大街27中央民族大学,北京市,北京市,海淀区,116.323277,39.95201,116.3171484,39.9507059
中央民族大学网球场(体育场路),体育休闲服务;运动场馆;网球场,80103,中关村南大街27中央民族大学,北京市,北京市,海淀区,116.321837,39.950298,116.3157119,39.94899671
动动康少儿体适能篮球馆,体育休闲服务;运动场馆;篮球场馆,80104,安宁庄前街东口银燕大厦D座一层,北京市,北京市,海淀区,116.331779,40.041948,116.3256195,40.04062368
田教练人体科学运动馆(上林溪店),体育休闲服务;运动场馆;综合体育馆,80101,安宁华庭一区15号楼1层101号F02,北京市,北京市,海淀区,116.32745,40.045987,116.3213,40.04467077
京S11乒乓球俱乐部,体育休闲服务;运动场馆;乒乓球馆,80112,大柳树路17号富海大厦2层,北京市,北京市,海淀区,116.335129,39.953808,116.328973,39.95248113
泰山饭店网球馆,体育休闲服务;运动场馆;网球场,80103,西三旗安宁北里八号,北京市,北京市,海淀区,116.329643,40.0486,116.3234876,40.04727941
北京交通大学乒乓球,体育休闲服务;运动场馆;乒乓球馆,80112,知行大道与高梁桥斜街交叉口东北100米,北京市,北京市,海淀区,116.336867,39.95193,116.3307073,39.95059991
北京交通大学体育馆,体育休闲服务;运动场馆;综合体育馆,80101,西直门外上园村3号北京交通大学西门(近交大东路),北京市,北京市,海淀区,116.336928,39.95194,116.3307681,39.9506098
北京交通大学足球场,体育休闲服务;运动场馆;足球场,80105,西直门外上园村3号北京交通大学,北京市,北京市,海淀区,116.337823,39.952395,116.3316611,39.95106309
北京大学博雅游泳健身中心(暂停营业),体育休闲服务;运动场馆;游泳馆,80110,中关村北大街127号北大博雅国际酒店B1层,北京市,北京市,海淀区,116.31327,39.997756,116.3071579,39.99646885
中国农业大学西校区足球场(绿苑西路),体育休闲服务;运动场馆;足球场,80105,圆明园西路2号中国农业大学西校区,北京市,北京市,海淀区,116.282609,40.029561,116.2765474,40.02832002
圆明园网球场,体育休闲服务;运动场馆;网球场,80103,人保博物馆东侧,北京市,北京市,海淀区,116.314084,40.001722,116.3079697,40.00043319
四季御园健身游泳,体育休闲服务;运动场馆;游泳馆,80110,旱河路四季御园国际大酒店B1层,北京市,北京市,海淀区,116.241017,39.978843,116.2349742,39.97762313
泰鹏大厦-游泳馆,体育休闲服务;运动场馆;游泳馆,80110,海淀北二街10号泰鹏大厦14层,北京市,北京市,海淀区,116.309046,39.9835,116.3029447,39.98222108
四季御园国际大酒店壁球室,体育休闲服务;运动场馆;壁球场,80114,北旱河路168号-3号,北京市,北京市,海淀区,116.241009,39.978786,116.2349662,39.97756613
深蓝阳光游泳馆,体育休闲服务;运动场馆;游泳馆,80110,四季御园大酒店地下一层,北京市,北京市,海淀区,116.24087,39.978762,116.2348271,39.97754209
北京飛乐轮滑俱乐部,体育休闲服务;运动场馆;综合体育馆,80101,滨河路二河开21号院内,北京市,北京市,海淀区,116.308765,40.015984,116.3026602,40.01470419
北京大学五四体育活动中心,体育休闲服务;运动场馆;综合体育馆,80101,颐和园路5号北京大学院内燕园,北京市,北京市,海淀区,116.312235,39.987232,116.3061265,39.98594718
青少年网球训练营,体育休闲服务;运动场馆;网球场,80103,滨河路爱蜗居金诚公寓东侧约130米,北京市,北京市,海淀区,116.309287,40.015946,116.3031811,40.01466526
北京大学五四篮球场,体育休闲服务;运动场馆;篮球场馆,80104,中关村北大街北京大学东5门北侧约80米,北京市,北京市,海淀区,116.31333,39.988615,116.307219,39.98732812
北京深蓝网球俱乐部,体育休闲服务;运动场馆;综合体育馆,80101,滨河路,北京市,北京市,海淀区,116.309358,40.01603,116.303252,40.01474913
远晟少儿足球俱乐部(二开河校区),体育休闲服务;运动场馆;足球场,80105,滨河路二河开21号院内,北京市,北京市,海淀区,116.309163,40.016406,116.3030573,40.01512546
第一游泳基地(中关村站),体育休闲服务;运动场馆;游泳馆,80110,善缘街与彩和坊路交叉口立方庭大厦西门一层,北京市,北京市,海淀区,116.308586,39.980795,116.302486,39.97951701
中关村游泳健身会所,体育休闲服务;运动场馆;游泳馆,80110,彩和坊路立方庭大厦1层,北京市,北京市,海淀区,116.308558,39.980665,116.3024581,39.97938706
壹健身立方庭国际游泳健身会所,体育休闲服务;运动场馆;游泳馆,80110,中关村西区善缘街1号立方庭大厦一层,北京市,北京市,海淀区,116.308626,39.980729,116.3025259,39.97945094
中关村小海马游泳俱乐部,体育休闲服务;运动场馆;游泳馆,80110,善缘街与彩和坊路交叉口立方庭大厦一层,北京市,北京市,海淀区,116.308884,39.980686,116.3027834,39.97940748
快快游游泳培训基地(中关村店),体育休闲服务;运动场馆;游泳馆,80110,彩和坊路立方庭1楼(近中关村地铁站苏州街地铁站),北京市,北京市,海淀区,116.308899,39.980667,116.3027984,39.97938846
